sample_id,product,historical_price_usd,chipset_evidence,usb_id,reported_hci_lmp,acl_buffer,observations,amazon_url,listing_confidence
A01,GAROGYI BT5.3 Pro Class 1,6.99,Realtek / RTL8761BU family,0bda:a729,5.1,1021:6,Five ZCM1 Central: ~80–88/s; lower counts often ~60–67/s. User could not exceed five. One/two ZCM2 and mixed groups playable.,https://www.amazon.com/dp/B0BTW9BWSV,Candidate matching listing; original ASIN unconfirmed
A02,QGOO BT831 green-08,6.99,Actions (992),10d7:b012,5.3,679:6,"One ZCM1 ~66/s, p95 ~32 ms; seven ~65–75/s with similarly poor gaps. ZCM2 difficult to connect, then no new updates in one five-second run.",https://www.amazon.com/s?k=QGOO+BT831+green-08,Search only; purchased ASIN unconfirmed
A03,UGREEN 35059 BT5.4 long range,9.49,Barrot (2279),33fa:0010,5.4,679:9,"One ZCM1 ~61/s, p95 ~36 ms. Seven mixed Central poor; all-Peripheral improved rates but gaps remained poor. Two ZCM2 within a seven-device mixed group judged unusable.",https://www.amazon.com/dp/B0CJXZJGVC,Exact supplied listing
A04,INTELBRAS AX900 + BT5.4,9.99,Unknown,,,,Awaiting delivery; no hardware or performance evidence.,https://www.amazon.com/s?k=INTELBRAS+AX900+%2B+BT5.4,Search only; purchased ASIN unconfirmed
A17,Techkey BT853 (previously called BT863),10.99*,Realtek / RTL8761BU family,0bda:a760,5.1,1021:6,"Six ZCM1 Central ~86–87/s, p95 ~17 ms. User: five or six good; one ~65/s and p95 ~32 ms; two Peripheral looked good.",https://www.amazon.com/s?k=Techkey+BT853+%28previously+called+BT863%29,Search only; purchased ASIN unconfirmed
A05,KAIY BT6.0,11.99,Barrot (2279),33fa:0012,code 0x0e,679:9,Seven mixed Central: ZCM1 ~36–39/s with p95 ~44–46 ms; ZCM2 ~65/s and p95 ~39 ms. Poor.,https://www.amazon.com/s?k=KAIY+BT6.0,Search only; purchased ASIN unconfirmed
A06,Krisnorey BT5.4,16.14,Realtek / RTL8761BU family,0bda:a728,5.1,1021:6,"Five ZCM1 Central ~80–87/s, p95 ~17–18 ms. Mixed five including two ZCM2 good; ZCM2 ~151–155/s, p95 ~9 ms. Below five problematic.",https://www.amazon.com/s?k=Krisnorey+BT5.4,Search only; purchased ASIN unconfirmed
A07,Krisnorey BT6.0,16.96,Realtek / RTL8761BU family,0bda:a760,5.1,1021:6,"Five ZCM1 Central ~79–87/s, p95 ~19–20 ms. User: only five works, not six; failed sixth-link cause not established.",https://www.amazon.com/s?k=Krisnorey+BT6.0,Search only; purchased ASIN unconfirmed
A08,Hakimonoe BT5.4 single antenna,17.09,Realtek / RTL8761BU family,0bda:a728,5.1,1021:6,"Six ZCM1 Central ~82–86/s, p95 ~20–33 ms; worst gap ~72 ms. Five needed per observation; six connected, but not uniformly green.",https://www.amazon.com/s?k=Hakimonoe+BT5.4+single+antenna,Search only; purchased ASIN unconfirmed
A09,TP-Link UB500 Plus,17.99,Realtek / RTL8761BU family,2357:0604,5.1,1021:6,"Five ZCM1 Central ~79–86/s, p95 ~17–20 ms. User only connected five; no definitive hard-capacity trace.",https://www.amazon.com/s?k=TP-Link+UB500+Plus,Search only; purchased ASIN unconfirmed
