run,capture_timestamp_local,requested_seconds,sample_span_seconds,controller,model,roles,updates_per_second,mean_displayed_p95_ms,mean_displayed_p99_ms,largest_displayed_10s_gap_ms,placement
R01,2026-09-12 18:59:49 -07:00,5,4.395705543000076,1,ZCM1,Central,85.76552644668206,20.088,20.888,24.54,nearby baseline
R02,2026-09-12 19:01:21 -07:00,5,4.473644247998891,1,ZCM1,Central,86.73018650813742,19.936,22.596,27.92,nearby baseline
R02,2026-09-12 19:01:21 -07:00,5,4.473644247998891,2,ZCM1,Central,87.62431214224193,19.983999999999998,23.666,28.86,nearby baseline
R03,2026-09-12 19:04:36 -07:00,5,4.62110935599776,1,ZCM1,Central,78.55256650199385,24.226,29.63,36.09,nearby baseline
R03,2026-09-12 19:04:36 -07:00,5,4.62110935599776,2,ZCM1,Central,77.4705752278617,24.152,30.512,35.5,nearby baseline
R03,2026-09-12 19:04:36 -07:00,5,4.62110935599776,3,ZCM1,Central,77.68697348268813,24.157999999999998,27.824,33.0,nearby baseline
R03,2026-09-12 19:04:36 -07:00,5,4.62110935599776,4,ZCM1,Central,77.68697348268813,23.939999999999998,27.584,36.99,nearby baseline
R03,2026-09-12 19:04:36 -07:00,5,4.62110935599776,5,ZCM1,Central,83.52972636300173,23.196,24.642,32.35,nearby baseline
R03,2026-09-12 19:04:36 -07:00,5,4.62110935599776,6,ZCM1,Central,83.52972636300173,23.518,24.576,27.65,nearby baseline
R03,2026-09-12 19:04:36 -07:00,5,4.62110935599776,7,ZCM1,Central,80.93294730508457,23.666,24.828,35.91,nearby baseline
R04,2026-09-12 19:06:53 -07:00,5,4.537661783997464,1,ZCM1,Central,81.5397924333725,23.864,24.724,35.52,nearby baseline
R04,2026-09-12 19:06:53 -07:00,5,4.537661783997464,2,ZCM1,Central,80.43790334643504,23.872,24.951999999999998,32.76,nearby baseline
R04,2026-09-12 19:06:53 -07:00,5,4.537661783997464,3,ZCM1,Central,80.43790334643504,24.0,24.902,33.09,nearby baseline
R04,2026-09-12 19:06:53 -07:00,5,4.537661783997464,4,ZCM2,Central,112.61306468500905,16.238,16.774,24.87,nearby baseline
R04,2026-09-12 19:06:53 -07:00,5,4.537661783997464,5,ZCM2,Central,112.39268686762155,16.232,16.544,24.59,nearby baseline
R04,2026-09-12 19:06:53 -07:00,5,4.537661783997464,6,ZCM1,Central,85.72697096373487,23.77,24.866,32.12,nearby baseline
R04,2026-09-12 19:06:53 -07:00,5,4.537661783997464,7,ZCM1,Central,84.8454596941849,23.956,25.05,32.47,nearby baseline
R05,2026-09-12 19:08:34 -07:00,5,4.580543485000817,1,ZCM1,Central,8.295958792757368,677.53,984.02,984.02,distance; unmeasured
R05,2026-09-12 19:08:34 -07:00,5,4.580543485000817,2,ZCM1,Central,30.127429300013596,85.304,176.136,278.88,distance; unmeasured
R05,2026-09-12 19:08:34 -07:00,5,4.580543485000817,3,ZCM1,Central,5.676182331886619,645.862,971.638,1339.46,distance; unmeasured
R05,2026-09-12 19:08:34 -07:00,5,4.580543485000817,4,ZCM2,Central,8.732588202902491,378.144,712.186,760.43,distance; unmeasured
R05,2026-09-12 19:08:34 -07:00,5,4.580543485000817,5,ZCM2,Central,53.70541744785032,60.082,90.56,151.35,distance; unmeasured
R05,2026-09-12 19:08:34 -07:00,5,4.580543485000817,6,ZCM1,Central,6.549441152176869,385.818,1023.85,1023.85,distance; unmeasured
R05,2026-09-12 19:08:34 -07:00,5,4.580543485000817,7,ZCM1,Central,5.457867626814057,511.00399999999996,721.424,779.57,distance; unmeasured
R06,2026-09-12 19:10:39 -07:00,5,4.559845681000297,1,ZCM1,Central,83.77476492059712,16.738,23.758,32.83,unspecified
R06,2026-09-12 19:10:39 -07:00,5,4.559845681000297,2,ZCM2,Central,189.69940224166626,8.896,12.43,24.21,unspecified
R06,2026-09-12 19:10:39 -07:00,5,4.559845681000297,3,ZCM2,Central,190.1380135763291,9.068,15.69,24.32,unspecified
R06,2026-09-12 19:10:39 -07:00,5,4.559845681000297,4,ZCM1,Central,86.6257385959054,16.798000000000002,23.902,28.14,unspecified
